2025-04-08 17:06:24.9036 | Info | Successfully registered 
2025-04-08 17:09:59.3603 | Info | Successfully logged in 
2025-04-08 17:11:21.9304 | Info | Successfully logged in 
2025-04-08 20:07:57.8881 | Info | Successfully logged in 
2025-04-08 20:10:23.8386 | Info | Successfully logged in 
2025-04-08 20:49:45.4218 | Info | Successfully logged in 
2025-04-17 13:52:20.4977 | Info | Forgot password email sent 
2025-04-17 13:59:25.9761 | Info | Password updated successfully 
2025-04-17 16:52:45.7062 | Info | Successfully logged in 
